ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license,population_estimate_2020,population_density_per_sq_km,population_score,population_density_score,exposure_score,population_raster_valid_pixels,population_year,population_source,population_license,population_method
224,PANDAV NAGAR,1.7738,28.621313,77.278593,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,59364,33467.13,30.77,53.98,44.7,176,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
225,ANAND VIHAR,4.4003,28.657932,77.308528,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,120989,27495.63,71.99,42.55,54.33,438,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
226,VISHWASH NAGAR,1.2042,28.662498,77.294467,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,40560,33682.11,18.19,54.4,39.92,119,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
227,I.P EXTENTION,4.5282,28.635566,77.312542,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,150274,33186.26,91.58,53.45,68.7,429,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
228,PREET VIHAR,3.4967,28.64114,77.295371,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,111517,31892.07,65.65,50.97,56.84,355,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
229,KRISHNA  NAGAR,2.0436,28.65615,77.275405,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,88882,43492.86,50.51,73.18,64.11,200,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
23,BUDH VIHAR,2.2115,28.715624,77.086968,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,67994,30745.65,36.54,48.77,43.88,225,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
230,GEETA COLONY,1.2542,28.648434,77.273889,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,55717,44424.33,28.33,74.96,56.31,124,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
231,GHONDLI,1.0175,28.649606,77.282335,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,41086,40379.36,18.54,67.22,47.75,103,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
232,ANARKALI,0.8702,28.650238,77.28931,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,28612,32879.8,10.2,52.86,35.8,87,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
233,DHARAMPURA,1.155,28.668435,77.25877,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,58150,50346.32,29.96,86.3,63.76,112,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
234,GANDHI NAGAR,0.9899,28.662104,77.260055,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,41328,41749.67,18.7,69.84,49.38,101,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
235,AZAD NAGAR,0.8815,28.665544,77.2781,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,49058,55652.86,23.87,96.46,67.42,88,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
236,RAGHUBAR PURA,1.3016,28.667376,77.271447,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,78317,60169.79,43.44,100.0,77.38,131,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
237,SHAHDARA,0.8799,28.668687,77.286957,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,39221,44574.38,17.29,75.25,52.07,90,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
238,JHILMIL,1.213,28.669878,77.302801,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,45475,37489.69,21.48,61.69,45.61,125,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
239,VIVEK VIHAR,2.4092,28.674727,77.314446,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,114087,47354.72,67.37,80.57,75.29,239,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
24,VIJAY VIHAR,2.0921,28.708819,77.095546,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,62025,29647.24,32.55,46.67,41.02,205,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
240,DILSHAD COLONY,0.9641,28.681584,77.325933,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,46202,47922.41,21.96,81.66,57.78,93,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
